"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"4946","Movement Zone 4946","1600","Movement Zone 1600","9/1/2019 - 9/1/2019, Every day, Daily Average",831,546,1264
"4946","Movement Zone 4946","1601","Movement Zone 1601","9/1/2019 - 9/1/2019, Every day, Daily Average",907,721,1140
"4946","Movement Zone 4946","1602","Movement Zone 1602","9/1/2019 - 9/1/2019, Every day, Daily Average",470,344,641
"4946","Movement Zone 4946","1603","Movement Zone 1603","9/1/2019 - 9/1/2019, Every day, Daily Average",1142,951,1370
"4946","Movement Zone 4946","1604","Movement Zone 1604","9/1/2019 - 9/1/2019, Every day, Daily Average",1431,1176,1740
"4946","Movement Zone 4946","1605","Movement Zone 1605","9/1/2019 - 9/1/2019, Every day, Daily Average",1551,1297,1854
"4946","Movement Zone 4946","1606","Movement Zone 1606","9/1/2019 - 9/1/2019, Every day, Daily Average",1780,1527,2073
"4946","Movement Zone 4946","1607","Movement Zone 1607","9/1/2019 - 9/1/2019, Every day, Daily Average",1126,867,1461
"4946","Movement Zone 4946","1608","Movement Zone 1608","9/1/2019 - 9/1/2019, Every day, Daily Average",329,137,789
"4946","Movement Zone 4946","1609","Movement Zone 1609","9/1/2019 - 9/1/2019, Every day, Daily Average",1370,729,2573
"4946","Movement Zone 4946","1610","Movement Zone 1610","9/1/2019 - 9/1/2019, Every day, Daily Average",1279,985,1660
